inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
99644,19,M,Concluído,1,0,0,0,0,1,B,3,Nenhuma Renda,396.5,407.1,491.0,461.4,400.0,PI,RIBEIRO GONÇALVES,2208908
677252,26,M,Concluído,1,0,0,0,0,1,B,3,1996.00 até 2495.00,356.0,444.6,352.8,466.8,360.0,MG,BELO HORIZONTE,3106200
4042767,19,F,Concluído,1,0,0,0,0,1,A,4,<= 998.00,448.8,487.2,476.9,417.2,520.0,CE,QUIXERÉ,2311504
5053023,28,M,Concluído,1,0,0,0,0,1,B,4,3992.00 até 4990.00,608.8,579.4,376.8,648.0,580.0,DF,BRASÍLIA,5300108
570786,16,M,Cursando,1,1,0,0,0,1,B,4,<= 998.00,435.6,360.6,428.2,436.6,560.0,SP,ROSANA,3544251
4039692,16,M,Cursando,1,1,0,0,0,1,B,3,<= 998.00,389.9,410.1,547.3,457.1,500.0,CE,FORTALEZA,2304400
2683735,36,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,PR,PIRAQUARA,4119509
2135612,28,M,Concluído,1,0,0,0,0,1,B,3,3992.00 até 4990.00,661.9,710.7,663.2,828.9,840.0,RJ,RIO DE JANEIRO,3304557
4982909,19,F,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,,391.4,432.7,,460.0,SP,JACUPIRANGA,3524600
3667034,22,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,508.5,570.4,581.8,441.8,580.0,SP,SÃO PAULO,3550308
3356763,18,F,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,483.4,426.4,520.8,477.9,580.0,RJ,RIO DE JANEIRO,3304557
2842256,23,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,RS,PORTO ALEGRE,4314902
1780490,18,F,Cursando,2,0,0,0,0,1,B,5,<= 998.00,486.9,560.4,558.5,520.7,780.0,PB,JUAZEIRINHO,2507705
429690,22,M,Concluído,1,0,0,0,0,1,B,1,Nenhuma Renda,,468.3,527.0,,440.0,BA,SALVADOR,2927408
1149050,17,F,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,451.0,493.6,490.5,396.5,640.0,BA,CAETANOS,2905156
3241433,26,M,Concluído,1,0,0,0,0,1,A,4,<= 998.00,364.2,452.7,467.6,519.6,400.0,PR,CURITIBA,4106902
3209003,18,F,Cursando,2,0,0,0,0,1,A,4,998.00 até 1497.00,373.8,421.9,461.7,488.2,500.0,SP,FRANCO DA ROCHA,3516408
3541268,18,M,Cursando,2,0,0,0,0,1,B,4,1497.00 até 1996.00,519.2,396.9,458.5,435.3,580.0,MG,TAIOBEIRAS,3168002
4520152,25,F,Concluído,1,0,0,0,0,1,A,2,<= 998.00,,362.6,401.4,,0.0,MA,BACABAL,2101202
3457394,15,F,Cursando,1,1,0,0,0,1,B,5,1996.00 até 2495.00,,429.5,561.5,,760.0,GO,ANÁPOLIS,5201108
2924457,18,M,Cursando,2,0,0,0,0,1,A,6,Nenhuma Renda,,,,,,MA,SÃO BERNARDO,2110609
